label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2	fold
chromothripsis	0.5546258687973022	1.0	envelope	none	8	7	21	5	0.7142857142857143	0.238095238095238	0.3571428571428571	0.5102040816326532	SKBR3
BFB	0.4160260558128357	0.67	representative	none	2	10	8	6	0.6	0.75	0.6666666666666665	0.625	SKBR3
seismic_amplification	0.7500525116920471	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SKBR3
ecDNA	0.5180838704109192	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SNU1000
chromothripsis	0.6591693162918091	0.67	representative	none	4	6	7	4	0.6666666666666666	0.5714285714285714	0.6153846153846153	0.6451612903225806	SNU1000
BFB	0.6188467144966125	0.67	representative	none	2	9	7	6	0.6666666666666666	0.8571428571428571	0.75	0.6976744186046512	SNU1000
seismic_amplification	0.7811529040336609	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU1000
ecDNA	0.4647297263145447	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SNU1005
chromothripsis	0.6521210670471191	0.67	representative	none	4	6	6	3	0.5	0.5	0.5	0.5	SNU1005
BFB	0.3598832488059997	1.0	representative	none	2	9	8	5	0.5555555555555556	0.625	0.5882352941176471	0.5681818181818182	SNU1005
seismic_amplification	0.7857097387313843	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU1005
ecDNA	0.4854300320148468	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SNU1245
chromothripsis	0.5708035826683044	0.67	representative	none	12	6	25	5	0.8333333333333334	0.2	0.3225806451612903	0.5102040816326531	SNU1245
BFB	0.5323213934898376	0.67	representative	none	2	9	7	6	0.6666666666666666	0.8571428571428571	0.75	0.6976744186046512	SNU1245
seismic_amplification	0.7884353399276733	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU1245
ecDNA	0.4904518723487854	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SNU1299
chromothripsis	0.6974865198135376	0.67	representative	none	4	7	7	3	0.4285714285714285	0.4285714285714285	0.4285714285714285	0.4285714285714285	SNU1299
BFB	0.2914891541004181	1.0	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666	SNU1299
seismic_amplification	0.7821382284164429	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU1299
ecDNA	0.4568212628364563	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SNU17
chromothripsis	0.7954539060592651	0.67	representative	none	2	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703	SNU17
BFB	0.5395427942276001	1.0	representative	containment	4	9	11	7	0.7777777777777778	0.6363636363636364	0.7000000000000001	0.7446808510638298	SNU17
seismic_amplification	0.7341535687446594	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU17
ecDNA	0.502959668636322	0.67	representative	none	2	5	7	3	0.6	0.4285714285714285	0.5	0.5555555555555556	SNU682
chromothripsis	0.6658245921134949	0.67	representative	none	2	6	4	2	0.3333333333333333	0.5	0.4	0.3571428571428571	SNU682
BFB	0.3178741931915283	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	SNU682
seismic_amplification	0.7434821128845215	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU682
ecDNA	0.4361090362071991	1.0	representative	none	2	5	8	3	0.6	0.375	0.4615384615384615	0.5357142857142857	SNU703
chromothripsis	0.7482689023017883	0.67	representative	none	2	7	4	2	0.2857142857142857	0.5	0.3636363636363636	0.3125	SNU703
