label	quantile	threshold	calls	predictions	true_predictions	recall	precision	f1	f2
BFB	0.93	0.5802356123924256	42	95	28	0.6666666666666666	0.29473684210526313	0.40875912408759124	0.532319391634981
BFB	0.935	0.5922027200460435	42	89	27	0.6428571428571429	0.30337078651685395	0.4122137404580153	0.5252918287937743
BFB	0.9400000000000001	0.5965004444122315	42	82	27	0.6428571428571429	0.32926829268292684	0.435483870967742	0.54
BFB	0.9450000000000001	0.6015282511711123	42	75	26	0.6190476190476191	0.3466666666666667	0.4444444444444445	0.5349794238683128
BFB	0.95	0.644602358341217	42	68	26	0.6190476190476191	0.38235294117647056	0.4727272727272727	0.5508474576271186
BFB	0.955	0.6590821385383604	42	61	26	0.6190476190476191	0.4262295081967213	0.5048543689320388	0.5676855895196506
BFB	0.96	0.6747018575668334	42	55	24	0.5714285714285714	0.43636363636363634	0.4948453608247423	0.538116591928251
BFB	0.965	0.6885085642337803	42	48	22	0.5238095238095238	0.4583333333333333	0.4888888888888889	0.5092592592592592
BFB	0.97	0.7159613251686088	42	41	19	0.4523809523809524	0.4634146341463415	0.4578313253012048	0.4545454545454546
BFB	0.975	0.764260545372963	42	34	18	0.42857142857142855	0.5294117647058824	0.4736842105263158	0.44554455445544555
BFB	0.98	0.7869252026081077	42	28	16	0.38095238095238093	0.5714285714285714	0.4571428571428571	0.4081632653061224
BFB	0.985	0.817599512636661	42	21	13	0.30952380952380953	0.6190476190476191	0.41269841269841273	0.34391534391534395
BFB	0.99	0.8751169443130493	42	14	9	0.21428571428571427	0.6428571428571429	0.32142857142857145	0.24725274725274723
BFB	0.992	0.8805846691131597	42	11	7	0.16666666666666666	0.6363636363636364	0.2641509433962264	0.19553072625698326
BFB	0.994	0.8913274681568141	42	9	7	0.16666666666666666	0.7777777777777778	0.2745098039215686	0.1977401129943503
BFB	0.996	0.914880729913711	42	6	6	0.14285714285714285	1.0	0.25	0.17241379310344823
BFB	0.998	0.9443715769052501	42	3	3	0.07142857142857142	1.0	0.13333333333333333	0.08771929824561403
BFB	0.999	0.9621276211738584	42	2	2	0.047619047619047616	1.0	0.0909090909090909	0.058823529411764705
seismic_amplification	0.0	0.13057473301887512	17	1356	16	0.9411764705882353	0.011799410029498525	0.023306627822286964	0.056179775280898875
seismic_amplification	0.05	0.1900739222764969	17	1288	16	0.9411764705882353	0.012422360248447204	0.024521072796934867	0.05899705014749262
seismic_amplification	0.1	0.22095179557800293	17	1220	16	0.9411764705882353	0.013114754098360656	0.025869037995149557	0.062111801242236024
seismic_amplification	0.15000000000000002	0.23512333631515503	17	1152	16	0.9411764705882353	0.013888888888888888	0.02737382378100941	0.06557377049180328
seismic_amplification	0.2	0.2488435059785843	17	1085	16	0.9411764705882353	0.014746543778801843	0.029038112522686024	0.06938421509106678
seismic_amplification	0.25	0.26136617362499237	17	1017	16	0.9411764705882353	0.015732546705998034	0.030947775628626696	0.07373271889400922
seismic_amplification	0.30000000000000004	0.2720792293548584	17	949	16	0.9411764705882353	0.01685985247629083	0.03312629399585921	0.07866273352999016
seismic_amplification	0.35000000000000003	0.28257710486650467	17	881	16	0.9411764705882353	0.018161180476730987	0.035634743875278395	0.08429926238145416
seismic_amplification	0.4	0.2907358407974243	17	814	16	0.9411764705882353	0.019656019656019656	0.0385078219013237	0.09070294784580499
seismic_amplification	0.45	0.2990311533212662	17	746	16	0.9411764705882353	0.021447721179624665	0.04193971166448231	0.09828009828009827
seismic_amplification	0.5	0.30650609731674194	17	678	16	0.9411764705882353	0.02359882005899705	0.0460431654676259	0.10723860589812333
seismic_amplification	0.55	0.3157542198896408	17	610	15	0.8823529411764706	0.02459016393442623	0.04784688995215311	0.11061946902654866
seismic_amplification	0.6000000000000001	0.3235534429550171	17	543	15	0.8823529411764706	0.027624309392265192	0.05357142857142857	0.1227495908346972
seismic_amplification	0.65	0.3336246833205223	17	475	15	0.8823529411764706	0.031578947368421054	0.06097560975609756	0.13812154696132597
seismic_amplification	0.7000000000000001	0.3434302657842636	17	407	15	0.8823529411764706	0.036855036855036855	0.07075471698113207	0.15789473684210523
seismic_amplification	0.75	0.353643536567688	17	339	15	0.8823529411764706	0.04424778761061947	0.08426966292134833	0.18427518427518427
seismic_amplification	0.8	0.3648010790348053	17	272	15	0.8823529411764706	0.05514705882352941	0.10380622837370242	0.22058823529411764
seismic_amplification	0.8500000000000001	0.38314271718263626	17	204	15	0.8823529411764706	0.07352941176470588	0.13574660633484162	0.2757352941176471
seismic_amplification	0.9	0.409984827041626	17	136	15	0.8823529411764706	0.11029411764705882	0.196078431372549	0.36764705882352944
seismic_amplification	0.91	0.4183479189872742	17	122	15	0.8823529411764706	0.12295081967213115	0.2158273381294964	0.3947368421052631
seismic_amplification	0.915	0.4235806249082089	17	116	14	0.8235294117647058	0.1206896551724138	0.21052631578947367	0.3804347826086956
seismic_amplification	0.92	0.4276638925075531	17	109	14	0.8235294117647058	0.12844036697247707	0.22222222222222224	0.39548022598870053
seismic_amplification	0.925	0.43283841758966446	17	102	14	0.8235294117647058	0.13725490196078433	0.23529411764705885	0.41176470588235287
seismic_amplification	0.93	0.4388920396566391	17	95	13	0.7647058823529411	0.1368421052631579	0.23214285714285718	0.3987730061349693
