class_name	type_tau	precision	recall	f1	tp	fp	fn	tn
Seismic_Amplification	0.8299999833106995	1.0	0.04950495049504951	0.09433962264150944	5	0	96	136
Seismic_Amplification	0.8399999737739563	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.8500000238418579	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.8600000143051147	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.8700000047683716	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.8799999952316284	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.8899999856948853	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.8999999761581421	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.9100000262260437	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.9200000166893005	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.9300000071525574	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.9399999976158142	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	0.949999988079071	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
chromothripsis	0.05000000074505806	0.44375	0.9594594594594594	0.6068376068376069	71	89	3	74
chromothripsis	0.05999999865889549	0.4666666666666667	0.9459459459459459	0.625	70	80	4	83
chromothripsis	0.07000000029802322	0.5035971223021583	0.9459459459459459	0.6572769953051643	70	69	4	94
chromothripsis	0.07999999821186066	0.5303030303030303	0.9459459459459459	0.6796116504854369	70	62	4	101
chromothripsis	0.09000000357627869	0.56	0.9459459459459459	0.7035175879396984	70	55	4	108
chromothripsis	0.10000000149011612	0.5785123966942148	0.9459459459459459	0.717948717948718	70	51	4	112
chromothripsis	0.10999999940395355	0.6	0.9324324324324325	0.73015873015873	69	46	5	117
chromothripsis	0.11999999731779099	0.6388888888888888	0.9324324324324325	0.7582417582417582	69	39	5	124
chromothripsis	0.12999999523162842	0.6634615384615384	0.9324324324324325	0.7752808988764045	69	35	5	128
chromothripsis	0.14000000059604645	0.6804123711340206	0.8918918918918919	0.7719298245614035	66	31	8	132
chromothripsis	0.15000000596046448	0.6947368421052632	0.8918918918918919	0.7810650887573964	66	29	8	134
chromothripsis	0.1599999964237213	0.7021276595744681	0.8918918918918919	0.7857142857142857	66	28	8	135
chromothripsis	0.17000000178813934	0.7252747252747253	0.8918918918918919	0.8	66	25	8	138
chromothripsis	0.18000000715255737	0.7415730337078652	0.8918918918918919	0.8098159509202455	66	23	8	140
chromothripsis	0.1899999976158142	0.735632183908046	0.8648648648648649	0.7950310559006211	64	23	10	140
chromothripsis	0.20000000298023224	0.7560975609756098	0.8378378378378378	0.7948717948717948	62	20	12	143
chromothripsis	0.20999999344348907	0.775	0.8378378378378378	0.8051948051948051	62	18	12	145
chromothripsis	0.2199999988079071	0.7948717948717948	0.8378378378378378	0.8157894736842105	62	16	12	147
chromothripsis	0.23000000417232513	0.8051948051948052	0.8378378378378378	0.8211920529801325	62	15	12	148
chromothripsis	0.23999999463558197	0.8026315789473685	0.8243243243243243	0.8133333333333335	61	15	13	148
chromothripsis	0.25	0.7972972972972973	0.7972972972972973	0.7972972972972974	59	15	15	148
chromothripsis	0.25999999046325684	0.7972972972972973	0.7972972972972973	0.7972972972972974	59	15	15	148
chromothripsis	0.27000001072883606	0.8055555555555556	0.7837837837837838	0.7945205479452055	58	14	16	149
chromothripsis	0.2800000011920929	0.8028169014084507	0.7702702702702703	0.7862068965517242	57	14	17	149
chromothripsis	0.28999999165534973	0.7971014492753623	0.7432432432432432	0.7692307692307693	55	14	19	149
chromothripsis	0.30000001192092896	0.7910447761194029	0.7162162162162162	0.7517730496453902	53	14	21	149
chromothripsis	0.3100000023841858	0.7846153846153846	0.6891891891891891	0.7338129496402878	51	14	23	149
chromothripsis	0.3199999928474426	0.7758620689655172	0.6081081081081081	0.6818181818181819	45	13	29	150
chromothripsis	0.33000001311302185	0.7719298245614035	0.5945945945945946	0.6717557251908397	44	13	30	150
chromothripsis	0.3400000035762787	0.7719298245614035	0.5945945945945946	0.6717557251908397	44	13	30	150
chromothripsis	0.3499999940395355	0.7636363636363637	0.5675675675675675	0.6511627906976745	42	13	32	150
chromothripsis	0.36000001430511475	0.7636363636363637	0.5675675675675675	0.6511627906976745	42	13	32	150
chromothripsis	0.3700000047683716	0.7843137254901961	0.5405405405405406	0.6399999999999999	40	11	34	152
chromothripsis	0.3799999952316284	0.8333333333333334	0.5405405405405406	0.6557377049180328	40	8	34	155
chromothripsis	0.38999998569488525	0.8333333333333334	0.5405405405405406	0.6557377049180328	40	8	34	155
